dataset_index,y_true,y_pred,p_fraud,title,company_profile,description,location,industry,required_experience,required_education,employment_type,function,is_error,error_type,error_magnitude
11078,1,0,0.03856702277461094,Real Services,,See Rohan,,,,,,,True,false_negative,0.9614329772253891
14666,0,1,0.8944352745971854,Payroll  Clerk $20/hr,,"The Accounting clerk will work in a team environment providing general clerical, accounting and office support. Primary duties will include but are not limited to: data entry (both numerical and alphabetical) , filing, bank statement reconciliation. Generating client's monthly financial statements. Handling Rebates The hours of the position are 8:0","US, CT, Bridgeport",Information Technology and Services,Entry level,High School or equivalent,Full-time,Accounting/Auditing,True,false_positive,0.8944352745971854
11538,0,1,0.8655857614400735,Human Resources Administrator,,"JOB DESCRIPTIONThe Human Resources Administrator manages the day-to-day operations of the Human Resource office. The HR Administrator manages the administration of the human resources policies, procedures and programs. The HR Generalist carries out responsibilities in the following functional areas: payroll (time and attendance), departmental devel","US, GA, Suwanee",Human Resources,Entry level,High School or equivalent,Contract,Manufacturing,True,false_positive,0.8655857614400735
6295,0,1,0.8328936805535107,Data Entry,,"This is a data entry position, Working hours are flexible. you are also expected to come online through Yahoo Messenger during working hours and also for your online interview / job briefing.i will like to let you know that This is strictly an online/work from home job the working hours are flexible and you can choose to work from anywhere of your ","US, , ",,,High School or equivalent,Contract,Administrative,True,false_positive,0.8328936805535107
5307,0,1,0.8276913430641704,Administrative Assistant/Front Desk Clerk,,"The Administrative Assistant will make a first impression on our customers and therefore is required to maintain a high level of professionalism and personal standard of attitude, behavior and appearance. The Administrative Assistant is responsible for providing the highest level of customer service, by managing the front desk console and interacti","US, , San Antonio",,,,,,True,false_positive,0.8276913430641704
4004,0,1,0.8140306882551653,Customer Service ,,"Our client is seeking an Customer Service with 1 plus years of experience.The ideal candidate must have-1 plus years of experience in the support role-Calendar, scheduling, correspondence, phones-Conference Planning, travel accommodations, hotel bookings, car rentals- Word, Excel and PowerPoint","US, , ",Hospital & Health Care,,,Other,Customer Service,True,false_positive,0.8140306882551653
13601,0,1,0.7683794306445529,Accounting Clerk $20/hr,,"The Accounting clerk will work in a team environment providing general clerical, accounting and office support. Primary duties will include but are not limited to: data entry (both numerical and alphabetical) , filing, bank statement reconciliation. Generating client's monthly financial statements. Handling Rebates The hours of the position are 8:0","US, NJ, Newark",Information Technology and Services,Entry level,High School or equivalent,Full-time,Accounting/Auditing,True,false_positive,0.7683794306445529
16590,0,1,0.6672528317902998,Administrative Assistant,,We currently have an opening for an Administrative Assistant. This is a virtual position and you must be comfortable working from home. A computer with reliable internet and basic computer skills are a must. We are looking for someone who has great organizational skills and has the ability to pay great attention to detail.,"US, TX, Houston",Insurance,Not Applicable,High School or equivalent,Full-time,Administrative,True,false_positive,0.6672528317902998
4084,0,1,0.6435930625265476,Accounting Assistant,,"We know your career is among the most important things in your life. Our company is currently seeking a Assistant Accountant.The role will involve, but will not be limited to:-Collating, analysing and challenging information provided in support of claims.-Undertake financial analysis for quantification of damages/losses and extrapolation of data.-C","AU, NSW, Sydney",,,,,,True,false_positive,0.6435930625265476
1824,0,1,0.6160832501697023,Data Entry,,•Prepares source data for computer entry by compiling and sorting information; establishing entry priorities.  •Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution.•Enters customer and account data,"US, WA, ARDENVOIR WA  ",,,,,,True,false_positive,0.6160832501697023
8344,0,1,0.6133989871532419,Writing Job,,We are a company looking for qualified individuals to help out with writing tasks such as:- short stories- movie scripts- magazines- ebooks- articles- news feeds- blog posts- PR websites… and more. Job Duties Include:- Draft and create content for lifestyle and health related websites- Research new products and services with the relation to the con,"US, NY, New York City",Writing and Editing,Entry level,High School or equivalent,Part-time,Writing/Editing,True,false_positive,0.6133989871532419
5735,0,1,0.5997166761580625,Part Time Ground representative,,Work for a world leading NGO- Non Governmental OrganisationAs a ground representative. No previous experience required.Earn good without affecting your current schedule.,"US, PA, Brookhaven",,Not Applicable,High School or equivalent,Part-time,,True,false_positive,0.5997166761580625
2622,0,1,0.5851564571744952,DATA ENTRY CLERK SPECIALIST,,Data Entry Clerk Specialist serves to support the Director of Operatuions within the Administrative or other areas as assigned in a Deputy Registrar's office of the Department of Motor Vehicles.,"US, MN, South St. Paul",Government Administration,Associate,High School or equivalent,Full-time,Administrative,True,false_positive,0.5851564571744952
6907,0,1,0.5797032223072307,Administrative Assistant,,"Open/close office, manage phones, greet and direct visitor'sProvide one-on-one assistance to the President of companyMaintain calendars and appointment schedulesOversight &amp; reporting of A/R and accounts payableGeneral office duties: email, mail sorting, scanning, faxing, return calls, tidyingMaintain inventory and suppliesAvailable to answer ev","US, , Shawnee",,,,Full-time,Administrative,True,false_positive,0.5797032223072307
17860,0,1,0.575522798623326,Immediate Requirement: iOS Developer for Qatar,,"Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Informatio","QA, DA, ",,,,,,True,false_positive,0.575522798623326
16784,0,1,0.5549024999159261,Urgent Requirement :iOS Developer for Qatar,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Informatio","QA, DA, ",,,,,,True,false_positive,0.5549024999159261
